Team,Season,League,Games Played,Home Wins,Home Draws,Home Losses,Home Goals Scored,Home Goals Conceded,Away Wins,Away Draws,Away Losses,Away Goals Scored,Away Goals Conceded,Wins,Draws,Losses,Goals Scored,Goals Conceded,Points,Goal Difference,League Position,Promoted,Relegated,prev_season_points,prev_season_league,prev_season_position,prev_season_gd,promoted_from_championship
Arsenal,2021/2022,Premier League,38,13,2,4,35,17,9,1,9,26,31,22,3,13,61,48,69,13,5.0,0,0,61.0,Premier League,8.0,16.0,False
West Brom,2021/2022,Championship,47,12,8,3,33,16,6,6,12,20,30,18,14,15,53,46,68,7,10.0,0,1,26.0,Premier League,19.0,-41.0,False
QPR,2021/2022,Championship,47,10,6,7,30,25,9,3,12,30,35,19,9,19,60,60,66,0,11.0,0,0,68.0,Championship,8.0,2.0,False
Preston,2021/2022,Championship,47,9,10,4,33,28,7,7,10,19,28,16,17,14,52,56,65,-4,12.0,0,0,61.0,Championship,13.0,-7.0,False
Coventry,2021/2022,Championship,47,10,5,8,32,26,7,9,8,29,34,17,14,16,61,60,65,1,12.0,0,0,55.0,Championship,16.0,-12.0,False
Blackpool,2021/2022,Championship,47,12,3,9,30,26,5,9,9,25,32,17,12,18,55,58,63,-3,14.0,0,0,0.0,N/A,0.0,0.0,False
Stoke,2021/2022,Championship,47,10,5,8,30,23,7,6,11,27,31,17,11,19,57,54,62,3,15.0,0,0,60.0,Championship,14.0,-2.0,False
Swansea,2021/2022,Championship,47,9,8,6,30,27,7,6,11,29,42,16,14,17,59,69,62,-10,15.0,0,0,80.0,Championship,4.0,17.0,False
Man United,2021/2022,Premier League,38,10,5,4,32,22,6,5,8,25,35,16,10,12,57,57,58,0,6.0,0,0,74.0,Premier League,2.0,29.0,False
West Ham,2021/2022,Premier League,38,9,5,5,33,26,7,3,9,27,25,16,8,14,60,51,56,9,7.0,0,0,65.0,Premier League,6.0,15.0,False
Cardiff,2021/2022,Championship,47,8,4,12,23,29,8,4,11,28,39,16,8,23,51,68,56,-17,17.0,0,0,68.0,Championship,8.0,17.0,False
Bristol City,2021/2022,Championship,47,8,8,7,33,29,7,2,15,30,50,15,10,22,63,79,55,-16,18.0,0,0,51.0,Championship,19.0,-22.0,False
Derby,2021/2022,Championship,46,11,7,5,30,22,3,6,14,15,31,14,13,19,45,53,55,-8,18.0,0,0,44.0,Championship,22.0,-22.0,False
Hull,2021/2022,Championship,47,8,4,12,24,29,7,5,11,19,26,15,9,23,43,55,54,-12,20.0,0,0,0.0,N/A,0.0,0.0,False
Leicester,2021/2022,Premier League,38,10,4,5,34,23,4,6,9,28,36,14,10,14,62,59,52,3,8.0,0,0,66.0,Premier League,5.0,18.0,False
Brighton,2021/2022,Premier League,38,5,7,7,19,23,7,8,4,23,21,12,15,11,42,44,51,-2,9.0,0,0,41.0,Premier League,16.0,-6.0,False
Wolves,2021/2022,Premier League,38,7,3,9,20,25,8,3,8,18,18,15,6,17,38,43,51,-5,9.0,0,0,45.0,Premier League,12.0,-16.0,False
Newcastle,2021/2022,Premier League,38,8,6,5,26,27,5,4,10,18,35,13,10,15,44,62,49,-18,11.0,0,0,45.0,Premier League,12.0,-16.0,False
Crystal Palace,2021/2022,Premier League,38,7,8,4,27,17,4,7,8,23,29,11,15,12,50,46,48,4,12.0,0,0,44.0,Premier League,14.0,-25.0,False
Birmingham,2021/2022,Championship,47,7,6,10,27,33,4,9,11,23,42,11,15,21,50,75,48,-25,21.0,0,0,52.0,Championship,17.0,-24.0,False
Reading,2021/2022,Championship,47,7,5,11,33,44,6,3,15,21,44,13,8,26,54,88,47,-34,22.0,0,0,70.0,Championship,7.0,8.0,False
Brentford,2021/2022,Premier League,38,7,3,9,22,21,6,4,9,26,35,13,7,18,48,56,46,-8,13.0,1,0,87.0,Championship,3.0,37.0,True
Aston Villa,2021/2022,Premier League,38,6,5,8,29,29,7,1,11,23,25,13,6,19,52,54,45,-2,14.0,0,0,55.0,Premier League,11.0,9.0,False
Southampton,2021/2022,Premier League,38,6,7,6,23,24,3,6,10,20,43,9,13,16,43,67,40,-24,15.0,0,0,43.0,Premier League,15.0,-21.0,False
