Team,Season,League,Games Played,Wins,Draws,Losses,Goals Scored,Goals Conceded,Points,Goal Difference,Form Points Last 10,League Position,prev_season_points,prev_season_gd,prev_season_league,prev_season_form,prev_avg_points,promoted_from_championship
Cardiff,2022/2023,Championship,45,12,10,23,40,58,46,-18,11,22.0,68.0,17.0,Championship,14.0,59.333333333333336,0
Preston,2022/2023,Championship,45,17,11,17,45,59,62,-14,13,12.0,61.0,-7.0,Championship,17.0,54.0,0
QPR,2022/2023,Championship,45,13,11,21,44,70,50,-26,8,19.0,68.0,2.0,Championship,19.0,50.0,0
Stoke,2022/2023,Championship,45,14,11,20,55,52,53,3,7,16.0,60.0,-2.0,Championship,12.0,52.333333333333336,0
Coventry,2022/2023,Championship,45,18,15,12,57,45,69,12,17,5.0,55.0,-12.0,Championship,17.0,58.666666666666664,0
Birmingham,2022/2023,Championship,45,14,10,21,47,58,52,-11,11,18.0,52.0,-24.0,Championship,17.0,56.666666666666664,0
Blackpool,2022/2023,Championship,45,10,11,24,47,72,41,-25,12,24.0,63.0,-3.0,Championship,11.0,0.0,0
Huddersfield,2022/2023,Championship,45,14,11,20,47,61,53,-14,21,16.0,49.0,-21.0,Championship,8.0,0.0,0
Hull,2022/2023,Championship,45,13,16,16,49,60,55,-11,12,15.0,49.0,-10.0,Championship,12.0,0.0,0
Middlesbrough,2022/2023,Championship,45,22,8,15,83,55,74,28,12,4.0,64.0,2.0,Championship,11.0,59.666666666666664,0
Millwall,2022/2023,Championship,45,18,11,16,55,50,65,5,11,8.0,62.0,-5.0,Championship,13.0,66.66666666666667,0
